City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Gat,IL,31.61,34.7642,67.41,50,100,2.08,overcast clouds
262,Saldanha,ZA,-33.0117,17.9442,62.69,89,100,6.15,light rain
263,Mizan Teferi,ET,6.9833,35.5833,70.47,56,77,1.41,broken clouds
264,Taoudenni,ML,22.6783,-3.9836,71.28,17,72,14.43,broken clouds
265,Krasnoshchekovo,RU,51.6708,82.7289,18.18,95,95,3.49,overcast clouds
266,Ola,RU,59.5833,151.2833,1.17,94,100,8.16,overcast clouds
267,Wanning,CN,18.8003,110.3967,68.52,78,100,11.65,overcast clouds
268,Japura,ID,-0.3167,102.35,74.07,95,99,1.3,light rain
269,Ancud,CL,-41.8697,-73.8203,65.73,58,0,8.43,clear sky
270,Caravelas,BR,-17.7125,-39.2481,81.12,67,25,9.04,moderate rain
271,Faya,SA,18.3851,42.4509,55.92,36,3,4.21,clear sky
272,Hami,CN,42.8,93.45,27.05,56,71,0.87,broken clouds
273,Cristalina,BR,-16.7686,-47.6136,74.21,65,63,6.02,broken clouds
274,Dillon,US,34.4166,-79.3712,73.65,44,99,7.74,overcast clouds
275,Gosainganj,IN,26.5833,82.3833,68.92,49,9,0.92,clear sky
276,Saint-Augustin,CA,51.226,-58.6502,20.55,56,26,23.35,scattered clouds
277,Joensuu,FI,62.6012,29.7632,7.29,79,0,10.36,clear sky
278,Leningradskiy,RU,69.3833,178.4167,-18.06,98,98,4.97,overcast clouds
279,Saint George,US,37.1041,-113.5841,60.35,45,1,3.44,clear sky
280,Alihe,CN,50.5667,123.7167,5.79,97,44,1.97,scattered clouds
281,Eyl,SO,7.9803,49.8164,78.48,69,9,21.83,clear sky
282,Rundu,NA,-17.9333,19.7667,79.3,44,90,4.36,light rain
283,Touros,BR,-5.1989,-35.4608,88.7,63,73,15.68,broken clouds
284,Yanam,IN,16.7333,82.2167,77.4,79,100,3.11,light rain
285,Morondava,MG,-20.2833,44.2833,81.34,78,13,11.99,few clouds
286,Gazanjyk,TM,39.2446,55.5154,44.51,76,0,9.6,clear sky
287,Ostrovnoy,RU,68.0531,39.5131,6.26,95,84,4.85,broken clouds
288,Benxi,CN,41.2886,123.765,25.12,70,0,5.23,clear sky
289,Chaihe,CN,44.7667,129.7,0.48,93,8,5.08,clear sky
290,Mayumba,GA,-3.432,10.6554,78.91,85,100,7.96,overcast clouds
291,Itacoatiara,BR,-3.1431,-58.4442,86.94,62,80,2.68,broken clouds
292,Charlestown,AU,-32.95,151.6667,67.73,77,99,5.99,overcast clouds
293,Fukuma,JP,33.7667,130.4667,46.4,57,50,1.48,scattered clouds
294,Salinopolis,BR,-0.6136,-47.3561,83.1,74,100,6.06,overcast clouds
295,Kishtwar,IN,33.3167,75.7667,46.85,66,8,3.98,clear sky
296,Matara,LK,5.9485,80.5353,77.41,88,45,4.12,scattered clouds
297,Northam,GB,51.0333,-4.2167,43.66,67,84,24.85,broken clouds
298,Bonavista,CA,48.6499,-53.1147,34.12,54,97,33.08,overcast clouds
299,Vestmannaeyjar,IS,63.4427,-20.2734,32.99,69,0,8.05,clear sky
300,Chernaya Kholunitsa,RU,58.8511,51.7154,25.32,90,99,9.98,overcast clouds
301,Turbat,PK,26.0023,63.044,71.4,64,2,2.73,clear sky
302,Cocorit,MX,27.5833,-109.9667,75.54,20,85,4.12,overcast clouds
303,Sierra Vista,US,31.5545,-110.3037,64.83,24,1,5.75,clear sky
304,Meulaboh,ID,4.1363,96.1285,76.87,86,16,3.71,few clouds
305,Vao,NC,-22.6667,167.4833,76.44,85,99,18.01,overcast clouds
306,Majene,ID,-3.5403,118.9707,78.75,80,100,1.9,overcast clouds
307,Bireun,ID,5.203,96.7009,77.38,86,63,3.51,broken clouds
308,Yumen,CN,40.2833,97.2,30.58,30,82,8.39,broken clouds
309,Qianan,CN,44.9932,124.0581,16.95,77,3,14.67,clear sky
310,Cherskiy,RU,68.75,161.3,-20.45,99,100,7.78,overcast clouds
311,Sorong,ID,-0.8833,131.25,80.2,82,94,8.21,overcast clouds
312,Gaoual,GN,11.75,-13.2,97.54,21,64,6.71,broken clouds
313,Torbay,CA,47.6666,-52.7314,34.29,51,85,13.0,overcast clouds
314,Khandbari,NP,27.3747,87.2039,59.16,89,69,0.18,broken clouds
315,Fallon,US,39.4735,-118.7774,37.27,65,40,0.0,haze
316,Santa Isabel,BR,-23.3156,-46.2214,82.36,43,40,7.23,scattered clouds
317,Ixtapa,MX,20.7,-105.2,79.83,65,40,3.44,scattered clouds
318,Sabzevar,IR,36.2126,57.6819,42.93,73,22,2.21,few clouds
319,Buraydah,SA,26.326,43.975,63.3,33,2,9.71,clear sky
320,San Andres,CO,12.5847,-81.7006,86.02,70,75,16.11,broken clouds
321,Cabo San Lucas,MX,22.8909,-109.9124,82.71,65,20,4.0,few clouds
322,Port-Gentil,GA,-0.7193,8.7815,80.71,82,98,12.66,overcast clouds
323,Rio Tercero,AR,-32.173,-64.1141,79.81,36,45,8.59,scattered clouds
324,Susanville,US,40.4163,-120.653,31.84,100,1,0.0,clear sky
325,Ormara,PK,25.2088,64.6357,75.69,61,2,8.68,clear sky
326,Luderitz,NA,-26.6481,15.1594,64.65,75,2,9.73,clear sky
327,Oklahoma City,US,35.4676,-97.5164,56.41,70,90,8.99,overcast clouds
328,Nanortalik,GL,60.1432,-45.2371,37.31,76,100,24.76,overcast clouds
329,Hualmay,PE,-11.0964,-77.6139,72.07,72,84,9.53,broken clouds
330,Khorixas,NA,-20.3667,14.9667,77.76,16,0,20.85,clear sky
331,Kyra,RU,49.5776,111.9753,20.08,80,100,5.57,overcast clouds
332,Brainerd,US,46.358,-94.2008,28.65,50,20,11.5,few clouds
333,Saint-Georges,GD,12.0564,-61.7485,82.38,71,62,15.05,broken clouds
334,Nyurba,RU,63.2842,118.3319,18.88,79,100,10.6,overcast clouds
335,Segou,ML,13.4317,-6.2157,94.26,10,100,7.76,overcast clouds
336,Peniche,PT,39.3558,-9.3811,60.62,82,42,17.07,scattered clouds
337,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,20.35,58,50,7.31,scattered clouds
338,Vila Velha,BR,-20.3297,-40.2925,78.75,73,40,11.5,scattered clouds
339,Bor,RU,56.3567,44.0669,28.33,81,97,13.13,overcast clouds
340,Chop,UA,48.432,22.2055,33.08,71,87,5.73,overcast clouds
341,Solano,US,38.2333,-121.9511,56.88,96,4,2.19,clear sky
342,Luanda,AO,-8.8368,13.2343,79.18,81,43,12.35,light rain
343,Sunel,IN,24.3667,75.9667,67.8,54,3,7.18,clear sky
344,Tilichiki,RU,60.4667,166.1,18.54,95,100,10.27,light snow
345,Port Blair,IN,11.6667,92.75,79.68,80,59,10.51,broken clouds
